Date,Open,High,Low,Close,Adj Close,Volume
2005-11-01,25.651281,26.938461,23.523077,25.548717,21.140556,20136870
2005-12-01,25.723078,29.707691,25.564102,28.712820,23.758728,16064685
2006-01-01,29.061539,29.533333,27.594872,28.071795,23.228306,11293035
2006-02-01,27.958975,28.379486,26.523077,27.225641,22.528147,8141640
2006-03-01,27.533333,28.892307,27.533333,28.051283,23.211332,8717670
2006-04-01,27.917950,28.579487,24.051283,24.143591,19.977871,13759200
2006-05-01,24.292309,26.251282,23.830769,25.123077,20.788357,15043665
2006-06-01,25.128204,27.415384,24.979486,27.035896,22.371140,9794070
2006-07-01,27.020514,29.635897,26.482052,28.979486,23.979382,5988060
2006-08-01,28.717949,29.538462,26.287180,28.138462,23.283468,7522515
2006-09-01,28.425640,32.692307,28.384615,32.456409,26.856400,11219910
2006-10-01,32.246155,34.266666,31.641026,34.266666,28.354317,8477430
2006-11-01,34.307693,40.251282,34.082050,39.276924,32.500103,14701830
2006-12-01,39.538464,42.164104,38.753845,41.794872,34.583611,13905840
2007-01-01,42.256409,46.615383,42.256409,44.425640,36.760471,17238780
2007-02-01,44.312820,50.994873,44.312820,46.000000,38.063187,22351388
2007-03-01,45.846153,49.743591,41.794872,45.938461,38.012272,14708660
2007-04-01,46.923077,50.861538,45.507690,47.866669,39.607784,10618536
2007-05-01,48.246155,49.384617,40.379486,42.348717,35.041897,22037149
2007-06-01,42.666668,42.758972,38.358974,38.717949,32.037579,20628079
2007-07-01,39.220512,43.917950,36.799999,42.553844,35.211632,14542424
2007-08-01,42.358974,44.984615,37.692307,42.841026,35.449265,13217593
2007-09-01,42.861538,44.266666,39.374359,42.574360,35.228607,8344445
2007-10-01,42.082050,50.451283,41.661537,50.451283,41.746445,12466940
2007-11-01,49.671795,50.482052,39.097435,41.610256,34.430843,16608154
2007-12-01,40.861538,41.794872,37.928204,40.451283,33.471844,17685629
2008-01-01,40.748718,41.743591,31.333332,34.276924,28.362804,23487561
2008-02-01,34.912823,35.292309,28.523077,29.312820,24.255203,22559652
2008-03-01,29.323076,31.251282,25.456409,29.005129,24.000603,19494350
2008-04-01,29.189745,30.348719,24.523077,27.805128,23.007648,16371717
2008-05-01,27.507692,30.666668,25.261538,27.025640,22.362654,15702378
2008-06-01,26.041025,33.353848,25.712820,29.405128,24.331585,26293123
2008-07-01,27.958975,37.835896,24.974360,24.974360,20.665298,37798320
2008-08-01,24.615385,29.200001,22.871796,23.343590,19.315901,25214774
2008-09-01,25.702564,28.256411,22.358974,23.005129,19.035837,23496140
2008-10-01,22.769232,24.389744,16.092308,22.841026,18.900051,38006577
2008-11-01,24.297436,27.117949,21.220512,26.933332,22.286272,18077091
2008-12-01,25.169231,33.712822,22.769232,29.825642,24.679544,22688059
2009-01-01,30.482052,31.394873,24.143591,24.635897,20.385235,20715539
2009-02-01,25.907692,29.743589,24.348719,24.451283,20.232471,15946618
2009-03-01,24.400000,25.651281,22.328205,23.702564,19.612938,16489694
2009-04-01,23.876923,30.184614,23.374359,28.051283,23.211332,14371504
2009-05-01,28.574360,31.097437,28.092308,29.866667,24.713490,11037100
2009-06-01,30.389744,32.738461,26.933332,29.117949,24.093956,13106734
2009-07-01,29.271795,31.230768,27.600000,29.015385,24.009089,10826407
2009-08-01,29.333332,30.266666,26.933332,28.092308,23.245279,7917982
2009-09-01,28.143591,32.297436,27.076923,29.784615,24.645594,11494867
2009-10-01,30.112822,31.600000,27.292309,27.969231,23.143436,12434277
2009-11-01,26.810255,28.779488,25.907692,26.871796,22.235352,13809708
2009-12-01,26.984615,29.661537,25.456409,27.497437,22.753048,28612161
2010-01-01,28.830769,29.241026,26.512821,26.646154,22.048643,11051726
2010-02-01,28.102564,28.430769,26.789743,28.174358,23.313171,8499957
2010-03-01,27.692308,28.717949,26.410255,27.866667,23.058569,9705643
2010-04-01,29.866667,31.610256,28.102564,28.882051,23.898762,9901129
2010-05-01,28.779488,29.302565,22.102564,24.143591,19.977871,14081442
2010-06-01,25.805128,29.302565,24.810255,27.784615,22.990675,23505989
2010-07-01,28.400000,31.600000,27.825642,30.717949,25.417894,13001144
2010-08-01,31.589745,32.102566,28.430769,29.138462,24.110929,6451191
2010-09-01,29.794872,32.410255,28.912821,31.600000,26.147757,9918874
2010-10-01,31.846153,34.235897,31.128204,33.466667,29.721731,9432838
2010-11-01,32.184616,33.056412,29.538462,31.312820,27.808901,14774570
2010-12-01,32.010258,32.400002,30.348719,31.548717,28.018400,8188738
2011-01-01,31.723078,32.861538,29.333332,31.343590,27.836227,11581053
2011-02-01,31.753845,32.307693,28.953846,29.251282,25.978048,7605688
